comp_name,exp_req,job_desp,job_desp_page,job_title,key_skills,loc,sal
Shield Autoglass Ltd,1-5 yrs,Hands-on experience in handling data and analytics driven decision making;Hands-on experience on ...,https://www.naukri.com/job-listings-Senior-MIS-Analyst-Shield-Autoglass-Ltd-Gurgaon-MG-Road-1-to-5-years-080618002326?src=jobsearchDesk&sid=1538417896860&xp=20&px=1,Senior MIS Analyst,"Advanced Excel, Macros, MIS, MS Office Tools, Dashboards, Data Analytics...",Gurgaon(MG Road),"    1,00,000 - 3,00,000 P.A. Negotiable  "
FIL India Business and Research Services Private  Limited,5-7 yrs,Exposure to structured software development methodology (preferably Agile or Iterative development ...,https://www.naukri.com/job-listings-Senior-Business-Analyst-DARS-FIL-India-Business-and-Research-Services-Private-Limited-Gurgaon-5-to-7-years-011018901426?src=jobsearchDesk&sid=1538417896860&xp=21&px=1,Senior Business Analyst - DARS,"reference data, market data, fixed income derivatives, business analysis...",Gurgaon,  Not disclosed 
Decision Point,4-7 yrs,The position required for an individual to manage Decision Points client engagement end to end which ...,https://www.naukri.com/job-listings-Senior-Analytics-Consultant-Decision-Point-Gurgaon-4-to-7-years-011018900790?src=jobsearchDesk&sid=1538417896860&xp=22&px=1,Senior Analytics Consultant,"sales, marketing, team management, excel powerpoint, data analytics, client...",Gurgaon,  Not disclosed 
Decision Point,2-4 yrs,The position required for an individual to manage Decision Points client engagement end to end which ...,https://www.naukri.com/job-listings-Senior-Business-Analyst-FMCG-Sector-Iit-nit-Decision-Point-Delhi-NCR-Gurgaon-2-to-4-years-011018900788?src=jobsearchDesk&sid=1538417896860&xp=23&px=1,Senior Business Analyst - FMCG Sector - Iit/nit,"sales, business analysis, marketing, data analytics, excel powerpoint, team...","Delhi NCR, Gurgaon",  Not disclosed 
EYGBS (INDIA) LLP,6-9 yrs,Experience in managing multiple concurrent initiatives from multiple regions or clients;Self-driven and ...,https://www.naukri.com/job-listings-Assurance-Data-Analytics-Senior-EYGBS-INDIA-LLP-Gurgaon-6-to-9-years-140818900285?src=jobsearchDesk&sid=1538417896860&xp=24&px=1,Assurance Data Analytics - Senior,"Data Analytics, Process Improvement, business analytics, Excel, SPSS, SAS",Gurgaon,  Not disclosed 
Nupeak IT Solutions,6-10 yrs,"Typically requires a minimum of 5-7 years experience analyzing data and/or teaching, including at least ...",https://www.naukri.com/job-listings-Sr-SAS-Data-Analytics-Consultant-Nupeak-IT-Solutions-Mumbai-Delhi-Jaipur-6-to-10-years-100718003640?src=jobsearchDesk&sid=1538417896860&xp=25&px=1,Sr. SAS Data Analytics Consultant,"sas stat, text mining, base sas, data analysis, statistics, analytics...","Mumbai, Delhi, Jaipur",  Not disclosed 
SLA Consultants India,0-5 yrs,N/A,https://www.naukri.com/job-listings-DATA-Analytics-DATA-Science-Analyst-SAS-R-Python-RPA-BI-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-060918000358?src=jobsearchDesk&sid=1538417896860&xp=26&px=1,DATA Analytics / DATA Science / Analyst - SAS / R / Python / RPA / BI,"data Analyst, reporting analyst, SAS, statistics, sas programmer...","Delhi NCR, Gurgaon, Noida","    2,00,000 - 4,25,000 P.A.  "
SLA Consultants India,0-5 yrs,N/A,https://www.naukri.com/job-listings-SAS-Reporting-Trainee-DATA-Analytics-Group-Graduate-Fresher-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-040918000119?src=jobsearchDesk&sid=1538417896860&xp=27&px=1,SAS Reporting Trainee - DATA Analytics Group ( Graduate Fresher ),"data Analyst, reporting analyst, SAS, statistics, sas programmer...","Delhi NCR, Gurgaon, Noida","    2,00,000 - 4,25,000 P.A.  "
CLARITY CONSULTING,4-8 yrs,"Must Have experience : SAS,SSIS,VBA TOOLS,Tableau,R,Python, ...",https://www.naukri.com/job-listings-Senior-Data-Analytics-CLARITY-CONSULTING-Gurgaon-Sector-24-Gurgaon-4-to-8-years-080918000358?src=jobsearchDesk&sid=1538417896860&xp=28&px=1,Senior Data Analytics,"Tableau, R, Data Analytics, SAS, VBA",Gurgaon(Sector-24 Gurgaon),"    7,00,000 - 13,00,000 P.A.  "
Naukri Premium - Employer Services,13-23 yrs,Bachelors degree with at least 10 years of experience in IT Auditing and 5+ years of experience in Data ...,https://www.naukri.com/job-listings-Sr-Director-IT-Audit-and-Data-Analytics-Naukri-Employer-Services-Delhi-NCR-13-to-23-years-060918001992?src=jobsearchDesk&sid=1538417896860&xp=29&px=1,Sr. Director - IT Audit and Data Analytics,"Cisa, Auditing, Information Security, IT Audit, Internal Audit...",Delhi NCR,  Not disclosed 
